000001	PLPv12scf1	573	53730	-	2565	1	0.473009944503128	FALSE
017208	PLPv12scf1	53732	54863	-	306	1	1	FALSE
017209	PLPv12scf1	55706	90542	-	8202	0.882442422863643	0.841654894283743	FALSE
017210	PLPv12scf1	113707	114603	-	897	1	1	FALSE
017211	PLPv12scf1	119325	120206	-	882	1	1	FALSE
025739	PLPv12scf1	123387	146444	+	2976	1	0.394501685082515	FALSE
017194	PLPv12scf1	151684	181179	+	4260	1	1	FALSE
025740	PLPv12scf1	186333	187992	-	1581	0.0583902091528845	1	FALSE
017195	PLPv12scf1	194411	198832	+	1365	0.435027831104545	0.0529189926830882	FALSE
017212	PLPv12scf1	211795	213334	-	309	0.331249482441726	1	FALSE
017213	PLPv12scf1	213881	311965	-	26295	0.527417973209551	1	FALSE
017227	PLPv12scf1	320458	320559	-	102	0.0832941987279299	0.760810126922257	FALSE
017196	PLPv12scf1	326206	328482	+	603	1	0.836253136908758	FALSE
017197	PLPv12scf1	330805	337604	+	1974	0.462498930718617	0.310660520172993	FALSE
017198	PLPv12scf1	340598	341018	+	270	1	0.712530232369498	FALSE
017214	PLPv12scf1	342198	347639	-	1560	0.24367376946328	0.837549408929472	FALSE
017215	PLPv12scf1	350898	365383	-	4785	0.382241121013192	1	FALSE
017199	PLPv12scf1	369908	372118	+	513	1	0.557427744508044	FALSE
017216	PLPv12scf1	378356	378775	-	420	1	0.395969656595207	FALSE
017217	PLPv12scf1	381298	384632	-	1371	1	0.17466850022244	FALSE
017200	PLPv12scf1	385048	387603	+	906	1	0.0132472190595694	FALSE
017201	PLPv12scf1	390285	397494	+	411	1	0.71425015349456	FALSE
017218	PLPv12scf1	402022	420244	-	1551	1	0.0649819106089964	FALSE
017202	PLPv12scf1	407803	458444	+	1635	0.165637331646708	1	FALSE
017219	PLPv12scf1	459107	471277	-	2463	1	0.628715976588954	FALSE
017220	PLPv12scf1	498453	531190	-	1977	0.101234694501861	0.865344764048966	FALSE
017221	PLPv12scf1	535393	561672	-	1353	0.963275460567754	0.187371939745507	FALSE
017203	PLPv12scf1	562661	572059	+	489	0.274606348890069	1	FALSE
017222	PLPv12scf1	573949	577033	-	1191	0.319107614663309	1	FALSE
017228	PLPv12scf1	585361	585447	-	87	0.00351765640041068	1	FALSE
017204	PLPv12scf1	597511	604553	+	762	1	0.844316604165583	FALSE
024582	PLPv12scf1	613074	613389	+	246	1	1	FALSE
017223	PLPv12scf1	616876	689024	-	6066	0.394530791951475	0.409085762844512	FALSE
017205	PLPv12scf1	692085	725445	+	5436	1	0.188323727064739	FALSE
017224	PLPv12scf1	746054	747955	-	678	0.399514260455352	1	FALSE
017206	PLPv12scf1	749523	754844	+	1257	0.100536146841508	1	FALSE
017207	PLPv12scf1	755363	758471	+	1188	0.269647796804617	1	FALSE
017225	PLPv12scf1	758459	762248	-	1677	0.106129092846634	0.252647799036212	FALSE
017226	PLPv12scf1	767562	783695	-	4743	0.728562980142435	1	FALSE
017272	PLPv12scf1	830736	832750	+	510	1	1	FALSE
017273	PLPv12scf1	834951	837386	+	1284	0.296562407737984	0.0702798849865682	FALSE
017274	PLPv12scf1	837797	840290	+	1095	1	1	FALSE
017275	PLPv12scf1	840693	843688	+	315	0.0380598247267259	0.286801833888536	FALSE
