024445	AAUscf1	4876	4917	+	42	1	1	1	1	1	1	1	1	1	1	FALSE
024405	AAUscf1	5044	6128	+	552	3.10862446895044e-14	1	1	1	1	1	1	1	1	1	TRUE
029867	AAUscf1	14795	22495	-	783	0.827832275683263	0.0292934731906018	6.55852375945898e-05	0.0312819424712336	1	1	1	0.0140644970891344	0.864508263465777	0.123573234085709	TRUE
000001	AAUscf1	37728	57283	-	1185	0.0280465375238315	1	1	1	0	1	0	1	1	1	TRUE
024406	AAUscf1	57285	61910	+	1056	0.784695649860385	1	1	0.736796924701042	1	1	0.835380878116841	0.407211706946499	1	0.029501612461881	FALSE
024425	AAUscf1	74478	80840	-	921	1	0.0464493073060082	1	0.0516394450229893	0.752421259024848	1	0.717713912356726	0.185987377337945	0.0471362901553054	0.948341455370155	FALSE
029868	AAUscf1	83531	95092	-	861	0.667675596457781	1	0.125008099766348	0.456617519208554	0.848847480847102	0.41231657408715	0.570210559596714	0.151957921869705	1	0.149597029732152	FALSE
029869	AAUscf1	98470	107278	-	1773	1	0.22846319319853	0.0519756389879253	1	0.731190272409833	1	1	1	1	0.587387125362278	FALSE
024407	AAUscf1	108888	113323	+	1071	0.425115454792493	1	1	1	0.847680206729106	0.389006945268093	0.301051431193151	0.0394667899614718	0.464196302712252	0.400587170908285	FALSE
024426	AAUscf1	115365	124344	-	2418	0.651451485725655	0.259167361629415	0.0683868113821329	0.60182467675923	0.166453428764165	0.162253904516523	0.124639796940463	0.253036197236958	0.215274751570353	0.62503700256778	FALSE
024408	AAUscf1	128758	183808	+	5094	0.451604399815172	0.330302108055744	0.635444445123407	1	0.743798586580979	0.425351836882719	0.299861856188428	0.542093308844205	0.255598323653928	0.519658004492368	FALSE
024427	AAUscf1	193231	228981	-	2043	0.432402674467337	0.333562091552865	1	0.847582138180127	0.234831078790108	0.885938970244611	0.909265858513643	1	1	1	FALSE
024409	AAUscf1	253430	276698	+	3381	1	0.877319923147876	0.783404953250566	0.413289558725664	0.64415752278648	0.717792375122788	0.597580665035526	0.525783955405729	1	0.289538699397785	FALSE
024428	AAUscf1	282188	286589	-	762	0.261911369324846	0.914678173514925	1	0.140030418248435	0.175210043929951	1	0.525320817204906	1	0.825298711147681	0.685909441185816	FALSE
024410	AAUscf1	289271	289654	+	291	1	0.0156444530716366	0.0584028839185191	0.301076460876433	1	1	0.249710971120414	1	0.707163887637076	0.847676672621712	FALSE
024411	AAUscf1	292589	300225	+	2238	0.915557043092095	3.77680766370236e-05	0.541704781473738	0.310456597111705	0.489662163699661	0.755539863875788	0.642799632763337	0.134370805705746	0.254076591635676	1	TRUE
024442	AAUscf1	310668	311102	-	435	0.00240160474504858	1	1	1	1	1	1	1	1	1	FALSE
024412	AAUscf1	329388	330165	+	489	1	1	1	1	1	1	1	1	1	1	FALSE
024429	AAUscf1	329973	330598	-	480	1	1	1	1	1	1	1	1	1	1	FALSE
024413	AAUscf1	332093	337468	+	486	1	0	0.0602364817712844	0	0	3.15728016331285e-06	0.00880077682620817	0	0.0179585879638204	0.655077388834946	TRUE
024443	AAUscf1	339709	340630	+	405	0.390075143560647	2.94453350591084e-12	2.86536937117443e-05	0.275890526836565	0.00891442873457682	0.0629792208873434	0.347563606997613	1	1	1	TRUE
